职业代码,职业名称,职业说明,职业任务
2-02-10-06,嵌入式系统设计工程技术人员,从事嵌入式应用系统和自动化控制系统的分析、编程、设计、集成、维护、评价、改进的工程技术人员。,"['分析理解控制对象的要求并归纳成技术指标', '配置嵌入式应用系统和自动化控制系统硬件, 确定技术规格', '编程和测试系统软件', '设计、集成、调试与维护系统', '分析、评价和改进系统']"
2-02-10-07,信息安全工程技术人员,从事信息系统安全研究、规划、设计、实施、评估的工程技术人员。,"['研究信息系统加密与解密、认证、存取管理、机密信息管理、防火墙、安全协议、安全技术', '分析信息系统安全性需求, 制订信息系统安全规划', '设计、开发、评估信息系统安全解决方案', '指导或实施信息安全方案', '制订信息安全政策、策略, 实施等级保护、网络隔离、安全监控', '制订安全危害预防策略, 发现并解决信息系统中的泄密、病毒、攻击、信息篡改等安全问题', '评估信息系统的安全性和安全等级']"
2-02-10-08,信息系统运行维护工程技术人员,从事信息系统开发、功能检测、运行管理和维护的工程技术人员。,"['设计、开发、安装、配置信息系统', '管理信息系统运行, 维护系统运行环境', '测试信息系统可靠性, 预测系统故障, 排查、分析信息系统故障和问题', '制订系统、信息备份的安全策略, 并提供技术支持', '提供系统安全危害的预防、故障隔离与数据恢复技术保障服务', '管理信息系统客户和技术信息, 分配系统权限, 调配系统资源', '评估信息系统']"
2-02-11,电气工程技术人员,从事电机与电器、电线电缆与电工材料、光源与照明等研究、设计、制造、试验的工程技术人员。,[]
2-02-11-01,电工电器工程技术人员,从事发电、输配电、用电电器设备和电气功能材料研发、设计、检验、试验、技术服务的工程技术人员。,"['研发、设计、检验、试验火电、水电、新能源及可再生能源发电设备', '研发、设计、检验、试验变压器、高低压开关及成套、互感器、电力电容器、避雷器及其设备成套、继电保护装置、智能化设备等输配电设备', '研发、设计、检验、试验发电机、电动机、微电机、特种电机，进行电机系统节能、绿色设计及再制造', '研发、设计、检验、试验工业电热设备、电动工具、电焊机、防爆电器、电工专用设备', '研发、设计、检验、测试电气绝缘材料、电工合金、电气储能设备，进行电气功能材料绿色设计、可回收再利用设计', '研发、设计、试验发电、输配电设备成套系统并提供技术服务', '设计、分析电器设备以及成套系统电气安全性、可靠性并进行模拟试验']"
2-02-11-02,电缆光缆工程技术人员,从事电缆光缆产品设计、材料研发、测试检验、生产指导等的工程技术人员。,"['研究、设计电缆光缆产品, 制订电缆光缆产品生产工艺流程', '测试检验电缆光缆材料和产品, 出具测试检验报告', '设计、维护和改进电缆光缆制造专用设备和工艺装备', '监督管理电缆光缆生产工艺过程并进行技术指导', '研究、开发和改进电缆光缆新材料、新产品、新技术、新工艺、新设备', '编制、应用电缆光缆产品标准和规范']"
2-02-11-03,光源与照明工程技术人员,从事光源与照明产品设计、工艺研发的工程技术人员。,"['研究、开发电光源、照明器具产品和生产工艺', '进行照明技术研究和经济分析', '进行照明系统设计和照明产品选型', '进行照明工程的光环境测量和视觉评价', '进行光源与照明工程设计、实施的技术管理']"
2-02-12,电力工程技术人员,从事电站与电力系统的研究、设计、安装、运行、检修、管理的工程技术人员。,[]
2-02-12-01,发电工程技术人员,"从事发电厂规划设计, 发电设备研发, 指导发电设备运行、检修、改造的工程技术人员。","['研究、制订发电厂规划, 编制投资概算;', '勘测、设计发电厂;', '研究、试验发电厂生产自动化技术;', '研究、应用发电设备检修技术;', '研究、分析发电设备的安全性和经济性;', '绘制发电厂系统设备的工作图, 撰写设备操作说明书;', '进行发电设备运行技术督导;', '分析和处理设备安装、调试、运行、检修、维护、改造的技术问题, 指导生产人员作业.']"
2-02-12-02,供用电工程技术人员,"从事供用电系统设计和设备研发, 指导供用电设备安装、调试、检修及用电营业的工程技术人员。","['研发、设计供用电系统及设备;', '指导用电营业, 推广应用新技术;', '指导用电负荷控制器的安装、调试、检修、整定;', '监督、检查、指导用户安全、经济、合理用电;', '研究、应用电能计量装置技术;', '指导电力内线工程检查、验收;', '分析、处理用户供电设备故障的技术问题;', '制订供用电指标, 编制操作规程.']"
2-02-12-03,变电工程技术人员,"从事变电站规划、设计, 变电设备研发, 指导变电设备安装、运行、检修、试验的工程技术人员。","['规划变电站布局;', '勘测、设计变电站, 编制投资概算;', '制订变电设备安装方案、施工进度计划;', '研究、应用变电系统及其设备自动化技术;', '研究、应用变电设备检修、试验技术;', '绘制变电系统及其设备工作图, 撰写系统和设备操作说明书;', '进行变电设备运行技术督导;', '分析处理变电设备安装、调试、运行、检修、改造的技术问题, 指导生产人员作业.']"
2-02-12-04,输电工程技术人员,"从事输电线路规划、设计, 输电设备研发, 指导输电设备安装、运行、检修、试验的工程技术人员。","['规划输电线路布局;', '勘测、设计输电线路, 编制投资概算;']"
2-02-12-05,电力工程安装工程技术人员,从事电力工程的安装、调试与维修等工作的技术人员。,[]
2-02-12-05,电力工程安装工程技术人员,从事电力工程安装施工方案编制、技术管理、安装指导的工程技术人员。,"['编制电力工程安装施工方案，制订进度计划。', '组织施工图纸会审和技术安全交底。', '编制各工序作业指导书，解决工程进度、质量控制、施工技术、安全技术措施等问题。', '现场指导、检查电力设备安装。', '进行施工技术管理。', '收集、整理施工记录、文件。', '进行安装工程项目竣工后的移交和总结评价。']"
2-02-13-01,邮政工程技术人员,从事邮政通信网路规划、设计、技术管理、施工组织和运行指导的工程技术人员。,"['规划邮政通信网路。', '规划、设计邮政通信网路生产作业流程及应急处理预案。', '研究、制订邮政通信网路工艺流程及设备配制方案并组织实施。', '指挥、调度邮政通信网路运能运力。', '维护邮政通信网路营业、网运、投递生产管理信息系统。', '检测邮政通信网路运行质量和运行安全状况。', '评估邮政通信网路的运行效率与效益，优化生产作业流程。', '制订、实施邮政通信网路技术标准、规范。']"
2-02-13-02,快递工程技术人员,从事快递设备、网路和信息网络设计与管理的工程技术人员。,"['研究、设计快递生产作业所需设备。', '规划、设计、优化网点布局、路由方案及集散中心数量，监控网点运行情况。', '进行包机、散航资源利用与时效优化，规划、管理运力资源。', '进行退网分析、退后管理支援。', '规划、设计快递作业计算机网络和信息系统。', '采集、存储、应用快递网络系统信息。']"
2-02-14-01,广播电视制播工程技术人员,从事广播电视节目编辑制作、播出系统管理和设备运行、维护的工程技术人员。,"['研究、设计广播电视节目制作系统、播出系统工艺;', '配置、调试广播电视节目制作、播出设备，指导施工安装;', '使用采集、编辑、制作、播出、存储等广播电视节目的系统设备，进行节目制作和播出;', '检修、维护、测试广播电视制作和播出设备、线路和系统;', '监测、管理节目播出质量;', '检测、管理节目存储系统.']"
2-02-14-02,广播电视传输覆盖工程技术人员,从事广播电视信号传输覆盖系统管理和设备运行、维护的工程技术人员。,"['规划和设计广播电视信号传输覆盖网络系统;', '进行频率指配、设备配置;', '指导安装、调试广播电视信号传输覆盖设备;', '进行节目传输发射管理及监测、节目接收与监测;', '运行、检测、维护及管理广播电视信号传输覆盖设备.']"
2-02-14-03,电影工程技术人员,从事电影摄制工艺设计和设备配置安装的工程技术人员。,"['进行电影摄制、录音、剪接、洗印、放映等工艺设计;', '进行设备配置、安装、调试;', '进行电影摄制新技术、新设备的研发、应用.']"
2-02-14-04,演艺设备工程技术人员,从事舞台机械和灯光、音响等演艺设备工程设计、管理并指导调试、检测、维护的工程技术人员。,"['进行舞台机械和灯光、音响设备等演艺设备工程的论证、评估，制订项目计划书，进行项目可行性研究;', '编制剧场、音乐厅等演出场所演艺设备工程的技术方案，设定系统性能技术指标及功能要求，制订施工组织设计方案并组织实施;', '进行演艺设备工程的组织与合同、项目集成、质量、安全、健康、环境等管理.']"
2-02-15,道路和水上运输工程技术人员,从事汽车运用、船舶运用、水上交通、道路交通、水上救助打捞、船舶检验和航标、公路养护等的工程技术人员。,[]
2-02-15-01,汽车运用工程技术人员,从事汽车安全经济运行、技术性能检测、技术维护、修理与改装等工作的工程技术人员。,"['分析汽车在运行条件下性能变化的规律，指导汽车驾驶员、维修人员操作。', '制订或修订汽车运用、维修技术管理制度及汽车运行消耗、汽车维修经济技术定额。', '编制并管理车辆技术档案和车辆维修档案。', '制订并优化汽车维修工艺。', '组织实施汽车运用、维修技术管理。', '制订或修订汽车运用、维修技术标准和规范。', '推广应用汽车节油、节胎驾驶和绿色汽车维修技术，组织实施汽车维修节能减排综合改造。', '进行汽车运行、维修事故技术分析与鉴定。']"
2-02-15-02,船舶运用工程技术人员,从事船舶、海上设施及其设备的运行技术工艺研究、检测，指导维护、修理的工程技术人员。,"['研究、应用船舶和海上设施的运行、检测与维修技术工艺，并指导操作。', '编制船舶主、辅机及系统、锅炉及受压容器、电气设备及其他装置运行的技术标准和规范。', '组织检测、维修船体及设备、主辅机及其系统、电气设备、锅炉及受压容器等。', '研究、设计船舶运输系统的经济运行技术方案和组织实施方案。']"
2-02-15-03,水上交通工程技术人员,从事水上安全监督、污染防治、航海保障和水上通信的工程技术人员。,"['进行船舶安全监督管理', '防治船舶污染，进行危险货物水上运输安全监督管理', '监督管理通航环境和秩序，发布航行通告或警告', '进行水上交通安全事故、污染事故的调查、处理和统计分析', '进行船员、引水员的培训、考核和评估', '编制船舶交通工程和导航工程规划并组织实施', '监测、管理船岸通信(VHF)、船舶交通服务(VTS)、船舶自动识别系统(AIS)、全球卫星定位系统(GPS)、海事数字电视监控系统(CCTV)等']"
2-02-15-04,水上救助打捞工程技术人员,从事水上遇险遇难船舶、飞行器的生命财产救助打捞及水域环境救助技术设计和装备研制、维护、修理的工程技术人员。,"['搜寻、救助水上遇险遇难船舶、飞行器及其人员', '组织水上生命、环境、财产专业救助打捞', '打捞、清除沉船、沉物', '研究、设计、应用、维护、修理潜水、救捞装备', '研究潜水生理，监督潜水作业，提供潜水员生命支持', '进行水上溢油、污染物清除等水域环境保护']"
2-02-15-05,船舶检验工程技术人员,从事船舶、水上设施、船运集装箱以及重要船用设备、部件和材料的图纸技术文件审查、检验的工程技术人员。,"['核定船舶、水上设施、船运集装箱以及重要船用设备、部件和材料的图纸和技术文件', '检验船舶和水上设施，并签发相应的法定证书或技术文件', '检验船运集装箱，并签发相应的认可证书和集装箱证书', '检验重要船用设备、部件和材料，并签发相应的认可证书、产品证书或技术文件']"
2-02-15-06,无线电航标操作与维护工程技术人员,从事无线电航标设备、设施和系统操作、监测、维护、保养和检修的工程技术人员。,"['操作、设置、调整无线电指向标/差分全球导航卫星系统、雷达信标、岸基自动识别系统、遥测遥控终端、供电系统', '监测无线电指向标/差分全球导航卫星系统、雷达信标、岸基自动识别系统、遥测遥控终端、供电系统的运行状态', '维护和保养无线电指向标/差分全球导航卫星系统、雷达信标、岸基自动识别系统、遥测遥控终端、供电系统、防雷系统、接地系统', '检修无线电指向标/差分全球导航卫星系统、雷达信标、岸基自动识别系统、遥测遥控终端、供电系统、防雷系统、接地系统']"
2-02-15-07,视觉航标工程技术人员,从事视觉航标设备、设施及电源、能源、防雷系统等附属装备、设施的布设、安装、检修、维护和保养的工程技术人员。,"['布设、安装、调试视觉航标设备、设施及配套和附属装备；', '拆除和更换视觉航标设备、设施及配套和附属装备；', '检测、维护视觉航标设备、设施及配套和附属装备；', '编报视觉航标设备、设施维修计划，并进行施工作业；', '分析、判断和排除视觉航标设备故障；', '解决复杂情况下视觉航标技术难题，进行意外情况下的应变处理；', '研究制订视觉航标技术更新计划和实施方案。']"
2-02-15-08,道路交通工程技术人员,从事道路交通政策研究、规划设计、管理控制、安全评估的工程技术人员。,"['进行道路交通政策研究；', '编制道路交通规划；', '制订道路交通控制方案，绘制管控设计图；', '进行道路交通组织优化设计；', '进行道路交通安全分析与评估；', '编制道路交通设施的运营及养护标准和规范并组织实施；', '进行城市轨道交通规划、设计并指导运营。']"
2-02-15-09,公路养护工程技术人员,从事公路技术状况检测与评定、养护需求分析、养护工程设计、施工指导、技术管理与服务的工程技术人员。,"['进行公路技术状况检测与评定；', '进行公路工程养护需求分析；', '制订日常养护及专项养护计划；', '编制日常养护工程技术方案；', '编制专项养护工程设计文件；', '指导作业人员进行公路养护工程施工，进行项目管理；', '进行养护工程质量控制、工程验收、项目后评估、监理咨询等技术服务。']"
2-02-16,民用航空工程技术人员,从事民用航空器维修与适航、空中交通管理、飞行签派、通用航空生产的工程技术人员。,[]
2-02-16-01,民用航空器维修与适航工程技术人员,,[]
2-02-16-02,民航空中交通管理工程技术人员,,[]
2-02-16-03,民航通用航空工程技术人员,,[]
2-02-16-04,民航飞行签派工程技术人员,,[]
2-02-16-01,民用航空器维修与适航工程技术人员,从事民用航空器维修技术研发应用和初始及持续适航管理的工程技术人员。,"['制订航空器维修方案，编写维修和加装、改装及重大特修方案。', '研究、分析重大、多发性故障并组织处理。', '进行民用航空器航前、航后、过站及例行检查。', '分解、检查、装配和调试民用航空器系统及连接件。', '检验、修理、更换民用航空器结构件。', '维护、修理、改装民用航空器。', '检验、分解、修理、装配和实验民用航空器离位零部件、附件。', '监督检查民用航空器初始和持续适航状况和运行安全。', '进行民用航空器维修、初始和持续适航的应用研究和技术开发。', '申请办理航空器国籍登记证、民用航空器适航证和出口适航证。']"
2-02-16-02,民航空中交通管理工程技术人员,从事空中交通管制、航空器运行管理及空中交通技术保障的工程技术人员。,"['进行民用航空器空中交通管制。', '传递、分析、处理航行情报。', '进行空中交通流量管理。', '设计民用航空器飞行程序。', '规划管理民用航空器飞行空域。', '评估设计机场建设有关空域、净空条件、通信导航监视和气象设施布局。', '进行空中交通管理的应用研究和技术开发。', '评估民用航空器运行性能。', '提供通信导航监视服务保障和技术支持。']"
2-02-16-03,民航通用航空工程技术人员,从事航空摄影、探矿、吊挂、监测、喷施等通用航空领域设备研发、技术管理和应用的工程技术人员。,"['研发航空摄影、探矿、吊挂、监测、喷施等通用航空专业设备，进行设备适用性检测和试验。', '研究、改进航空作业技术方法，制定作业标准和规范。', '分析航空作业区域的地形、地表下资源相关资料及飞行前气象条件，并根据用户要求和航空器性能，编制航空摄影、探矿、吊挂、监测、喷施等作业方案。', '检查和调校航摄、探测、监测、喷施等航空作业仪器、设备。', '指挥飞行员按照任务要求保持飞行状态，分析飞行时的气象条件，调整作业方案。', '在飞行过程中，操作航摄仪，按预设的航向、旁向重叠精度及清晰度等要求，进行地形地貌摄影。', '在飞行过程中，操作探测仪器，探测地表下资源分布情况。', '在飞行过程中，操作直升机绞车起放物体，保持吊挂物体的动态平衡，以及紧急状态下进行应急处置，指挥地面人员进行吊挂、吊装、卸载物体。', '在飞行过程中，收集监测物样本或操作监测仪器，进行监测物的种类、分布。']"
2-02-16-04,民航飞行签派工程技术人员,从事飞机运行性能、航行情报、航空气象等信息评估，进行航空公司飞行签派、监控的工程技术人员。,"['评估、制作运行飞行计划，签派放行航班。', '编排和调整机队航班计划，评估航班飞行运行的风险，提供运行决策支持。', '监控航班的飞行运行进程，并向机组提供飞行安全所需信息，实施紧急情况应急处置。', '制作航班运行的航路走向，分析、传递与评估机场、航路设备信息。', '制作和维护航班运行导航数据库。', '评估机场、航路和特殊复杂天气对飞行运行的影响。', '评估民用航空器运行性能，进行起飞、航路和着陆性能分析。', '制作地形复杂机场起飞、复飞一发失效应急程序。', '分析、评估高原航线飞机飘降、座舱释压供氧能力。', '制订飞机重量和重心限制标准，评估分析航班载重、重心与配平。']"
2-02-17,铁道工程技术人员,从事铁路研究、规划设计、运输组织、生产制造、试验检测、设备维护及管理的工程技术人员。,[]
2-02-17-01,铁道运输工程技术人员,从事铁路运输组织及客、货运营销规划、设计、管理和组织实施的工程技术人员。,"['编制铁路运输发展规划和路网规划。', '管理铁路运输能力，制订设备运用方案，研究、设计车站与枢纽。', '编制、实施铁路运输计划、技术计划、列车运行图、列车编组计划，制订、实施客流组织、货流组织和车流组织方案。', '实施铁路调度指挥、组织、管理车站和列车的作业和服务。', '运用、管理铁路行车、客运、货运和装卸设备。', '制订、实施铁路客、货运产品营销策略及措施，制订、实施运价和保价运输方案。', '制订、实施铁路行车、客运、行包、货运技术标准和规范。', '管理铁路线路、车站运营基本条件和客货运输条件、质量。']"
2-02-17-02,铁道机务工程技术人员,从事铁路机务运用管理及机车和机务设备设计、维修、试验、检验、监造的工程技术人员。,"['制订铁路机务生产技术标准、规范并组织实施。', '组织、管理铁路机车运用、牵引、检修、整备、救援、调度和动车组运用等安全生产。', '分析铁路机务生产、安全、质量、能耗指标。', '制订铁路机车及部件技术标准、技术条件。', '设计、试验、检验、监造铁路机车及部件，提供生产和维修技术支持。', '制订铁路机车检修、整备设备和机务行车安全设备技术标准。', '设计、检查、验收铁路机车检修、整备设备和机务行车安全设备，提供生产技术支持。', '制订铁路机车运用、救援、施工方案，编制机车周转图，管理、运用列车牵引计算和试验，指导机车操纵技术。']"
2-02-17-03,铁道车辆工程技术人员,从事铁路车辆设计、试验检测、运用维修管理、生产技术指导的工程技术人员。,"['研究、开发铁路车辆技术和产品，确定车辆整体及零部件技术条件。', '设计、应用铁路车辆产品的结构、工艺。', '制订铁路车辆及零部件制造、检测、运用技术标准，试验车辆性能，检查、验收产品质量。', '制订铁路车辆检修规程、流程。', '开发、应用铁路车辆检测、试验、化验、维修设备并提供生产技术支持。', '编制铁路车辆运用及设备检修计划，制订、实施车辆管理规程和工艺标准，分析技术指标。', '制订铁路车辆设备设施能力查定办法并组织实施。', '组织、实施铁路车辆设备运用、检修和技术改造。']"
2-02-17-04,铁道电务工程技术人员,从事铁路通信、信号系统及设备设计、试验检验、运用运行、维护管理、生产技术指导的工程技术人员。,"['研究、设计铁路通信、信号技术，开发系统及设备。', '制订铁路通信、信号在用系统、设备及零部件的运用方式，制订质量检测标准。', '制订铁路通信、信号系统专业检修规程、流程。', '鉴定铁路通信、信号系统及设备运行质量，分析、处理系统及设备运行中的技术问题。', '组织实施铁路通信、信号设备技术改造。', '制订、实施铁路通信、信号设备的维护计划，并指导作业。']"
2-02-17-05,铁道供电工程技术人员,从事铁路牵引供电、自动闭塞供电技术和设备的设计、试验检测、维护管理、生产技术指导的工程技术人员。,[]
2-02-17-06,铁道工务工程技术人员,从事运营铁路轨道、路基、桥隧等固定设施检测、监测、管理，指导养护维修的工程技术人员。,"['制订轨道、路基、桥涵、隧道、线路防护设施、高铁自然灾害及异物侵限监测系统技术标准、检修规程、流程，并组织实施;', '编制、实施轨道、路基、桥涵、隧道、安全防护等固定设施维修计划和技术方案，指导维修作业;', '检测、监测轨道、桥梁、隧道和路基设备，测量铁路线路线形，观测路基、桥梁沉降，制订整治方案和防灾预案;', '指导、监造钢轨、道岔、大型养路机械等铁道工务产品生产;', '研究、应用钢轨焊接、钢轨探伤技术，指导铁路养路机械、机具运用和维护;', '进行铁道工务安全和铁路防洪管理，监护铁路工务设备施工安全;', '应用高铁自然灾害及异物侵限监测系统，并进行管理;', '组织应急救援和抢险作业，组织灾害设施复原;', '研究、应用铁路造林绿化和防沙治沙技术，管理铁道线路周边环境.']"
2-02-18,建筑工程技术人员,从事城乡规划设计，建筑物、构筑物、公园、道路、桥梁、港口与航道、铁路、机场等建筑项目设计、建造及管理的工程技术人员。,[]
2-02-18-01,建筑和市政设计工程技术人员,,[]
2-02-18-02,土木建筑工程技术人员,,[]
2-02-18-03,风景园林工程技术人员,,[]
2-02-18-04,供水排水工程技术人员,,[]
2-02-18-05,工程勘察与岩土工程技术人员,,[]
2-02-18-06,城镇燃气与供热工程技术人员,,[]
2-02-18-07,环境卫生工程技术人员,,[]
2-02-18-08,道路与桥隧工程技术人员,,[]
2-02-18-01,建筑和市政设计工程技术人员,从事建筑物、构筑物和市政工程设计，工程项目管理、咨询及技术服务的工程技术人员。,"['研究、设计建筑和市政工程项目布局、风格、规模、功能，准备材料、造价和工期资料。', '收集工程项目环境、地质、水文等技术资料。', '分析、确定建筑和市政工程项目布局、功能设置、工艺流程、技术参数，进行结构选型和优化、系统选择、设备选型和安放、交通组织、环境美化。', '编制建筑和市政工程方案设计、初步设计和施工图设计文件。', '进行设计技术交底，提供建筑和市政工程项目建设过程的设计技术服务。', '提供建筑和市政工程项目策划、规划、立项等技术咨询服务。']"
2-02-18-02,土木建筑工程技术人员,从事工业与民用建筑、市政基础设施等建造施工、监督管理的人员。,"['编制建设项目任务书、标书，组织工程招投标活动。', '编制和管理工程量清单、概算、预算和结算。', '编制工程施工技术文件，组织指导施工。', '管理施工进度，控制工程成本。', '编制质量专项方案，控制、检验评定工程质量。', '编制安全文明施工专项方案，管理施工安全。', '验收工程材料、设备。', '组织指导检验检测工程施工原材料、成品、半成品。', '收集整理工程施工技术资料。']"
2-02-18-03,风景园林工程技术人员,从事风景园林研究、规划、设计、保护、施工、养护、运营管理和技术咨询的工程技术人员。,"['研究风景园林理论，进行技术开发。', '编制大地景物、风景名胜区、遗产地、休闲游憩地、城市景观规划。', '编制城乡绿地系统、公园体系、生物多样性保护规划。', '设计公园、公园建筑、绿地、城市公共活动空间、景区景观、园路系统、文化小品、植物景观、水系水景。', '进行园林生态修复和立体绿化、园林植物应用和生物多样性保护。', '进行风景名胜区、公园、绿地的运营管理，风景园林工程施工管理和养护管理。', '进行城镇园林古树名木鉴定和复壮保护。', '收集风景区和城镇环境、地质、水文等技术资料。']"
2-02-18-09,港口与航道工程技术人员,从事港口与航道工程的规划、设计、施工和管理的工程技术人员。,[]
2-02-18-10,民航机场工程技术人员,从事民航机场的规划、设计、施工和管理的工程技术人员。,[]
2-02-18-11,铁路建筑工程技术人员,从事铁路建筑工程的规划、设计、施工和管理的工程技术人员。,[]
2-02-18-12,水利水电建筑工程技术人员,从事水利水电工程的规划、设计、施工和管理的工程技术人员。,[]
2-02-18-13,爆破工程技术人员,从事爆破工程的设计、施工和管理的工程技术人员。,[]
2-02-18-04,供水排水工程技术人员,从事城镇和工矿企业供水、排水系统规划、设计、建设、运行、维护技术研发和技术支持的工程技术人员。,"['编制供水水源选择方案、污水处理与排放方案, 分析技术经济指标。', '研究城镇和工矿企业供水、排水系统的型式, 编制供水厂、污水处理厂、污泥处置站、再生水厂和管网的布局方案。', '设计城镇和工矿企业供水、排水设施, 编制施工方案, 指导施工、监理和验收。', '预测城镇和工矿企业供水、排水的水质和水量, 编制生产技术方案, 指导生产运行。', '编制城镇和工矿企业供水、排水设施的维护方案, 指导维护作业。', '编制城镇和工矿企业供水、排水和城镇排涝应急预案, 指导应急处置。', '优化城镇自来水、再生水终端用户用水与排水方案, 提供技术支持。', '研究、应用城镇和工矿企业供水、排水的新技术、新设备、新材料、新工艺。']"
2-02-18-05,工程勘察与岩土工程技术人员,从事建设项目工程地质与水文地质条件和岩土工程条件的调查研究与分析评价、岩土工程勘察、岩土工程与环境岩土工程设计和治理、岩土工程检测监测、工程测量、勘探测试及相关专业咨询服务的工程技术人员。,"['策划实施工程地质测绘与调查、工程地质与水文地质勘察和岩土环境调查研究, 分析评价场地稳定性、建设适宜性和环境岩土工程条件, 提出工程建设可行性和场地选址建议, 提供专题报告。', '策划实施从项目施工到运营阶段的岩土工程勘察、环境岩土工程勘察, 进行现场勘探与原位测试、室内岩土和地下水试验分析, 进行岩土工程分析评价, 提出对工程设计、施工、运维的方案和建议, 提供场地勘察成果文件。', '进行岩土工程设计与地下水控制设计、场地地基利用环境岩土工程设计, 提供专项工程设计成果文件。', '组织实施岩土工程治理、地下水控制、环境岩土工程治理, 交付治理成果。', '组织实施项目各阶段岩土工程检测、监测和测量, 提供专项工作成果报告。', '提供岩土工程专项、专业全过程工程咨询与研究服务, 提交咨询报告或专项研究报告。']"
2-02-18-06,城镇燃气与供热工程技术人员,从事城镇燃气与供热系统勘测、规划、设计、建设、运行、监测、维护技术研发和技术指导的工程技术人员。,"['编制气源热源选择方案, 分析技术经济指标。', '研究城镇燃气与供热管网系统类型, 编制管网布局方案。']"
2-02-18-07,环境卫生工程技术人员,从事城乡环境卫生系统规划、设计、建设、运行、维护技术研发和技术支持的工程技术人员。,"['编制城乡环境卫生设施系统规划', '研究、设计生活垃圾收集、运输、处理、处置和再利用方案，分析技术经济指标', '设计城乡环境卫生设施施工图纸，编制施工方案，指导施工、监理和验收', '研究、应用粪便、生活垃圾收集、运输、处理和再利用的工艺、技术和装备', '研究清扫保洁、清冰除雪的工艺、技术和装备', '选择环境卫生作业工艺，制订技术方案，提供技术指导', '检测、分析设施、装备运行参数并指导运行', '制订、修订设施和装备操作规程、技术标准']"
2-02-18-08,道路与桥隧工程技术人员,从事道路、桥梁与隧道工程的规划、勘测、设计，并指导施工、养护的工程技术人员。,"['规划、勘测道路线路位置', '规划、勘测、设计道路、桥梁、隧道、涵洞并指导施工', '研究、设计道路沿线的生态环境、古迹、景观保护方案', '制订道路、桥梁、隧道、涵洞的施工规范和安全操作规程', '制订施工方案并核算施工成本', '检测、评定道路、桥梁、隧道、涵洞的交通安全性能', '制订道路、桥梁、隧道、涵洞及附属设施的养护计划并指导管理、维修']"
2-02-18-09,港口与航道工程技术人员,从事港口、航道、通航建筑物、修造船水工建筑物规划、勘测、设计、检测、维护，并指导施工的工程技术人员。,"['进行码头、防波堤、护岸、船闸、升船机、船坞、船台、滑道等工程的规划、勘测、设计、检测并指导施工', '进行航道整治、航道疏浚、导助航设施的规划、勘测、设计、检测并指导施工', '进行海上空港、人工岛、跨海大桥基础、海上风电塔基础、海岸核电取排水建筑物的勘测、设计、检测并指导施工', '进行港口基础设施与航道的维护管理', '制订并实施港口、航道等水运工程建设标准']"
3,城镇燃气与供热工程技术人员,从事城镇燃气与供热设施的设计、施工及相关技术支持的工程技术人员。,"['设计城镇燃气与供热设施，编制施工方案，指导施工、监理和验收', '预测城镇燃气与供热负荷，制订城镇燃气供热系统生产技术方案，指导生产运行', '制订城镇燃气与供热设施维护方案，指导维护作业', '制订城镇燃气与供热应急预案，指导应急处置', '优化城镇燃气终端用户用气方案，提供用气技术支持', '研究、应用城镇燃气与供热的新技术、新设备、新材料、新工艺']"
2-02-18-10,民航机场工程技术人员,从事民航机场工程规划、勘测、设计、技术管理并指导施工的工程技术人员。,"['进行机场选址', '编制机场(预)可行性研究报告、总体规划', '勘测、设计机场工程，并指导施工、维养', '评估机场选址、(预)可行性研究报告、总体规划、设计文件', '编制机场工程施工组织方案', '开展机场工程招投标工作']"
2-02-18-11,铁路建筑工程技术人员,从事铁路基础设施勘测、设计、检测、技术管理并指导施工的工程技术人员。,"['勘测、设计线路，确定轨道平纵面参数', '设计、检测轨道结构、部件、防灾及安全防护设施，并指导施工', '勘测、设计路基及安全防灾设施并指导施工，检测路基工程质量', '勘测、设计桥梁、隧道及设备安全防灾措施并指导施工，试验、检测、鉴定桥梁、隧道运用条件及技术状态', '设计、检测、评估铁路牵引供电系统和通信信号系统，并指导施工', '制订系统调试方案，进行部件和系统功能调试及安全评估']"
2-02-18-12,水利水电建筑工程技术人员,从事水库、水电站、引(供)水工程、灌排工程和堤防工程等水利水电工程及辅助设施规划、勘测、设计、施工、监理、质量检测、安全监测等的工程技术人员。,"['调查水资源和水能资源的开发利用状况，以及农田水利、水环境和水生态状况，开展大坝、堤防工程安全评估', '规划、勘测、设计水利水电工程', '进行水利水电工程招投标、施工、质量检测、安全监测的技术工作', '编制水利水电工程施工组织方案、施工措施计划，指导和检查施工活动', '编制水利水电工程概(估)算、招标标底、招标控制价、合同结算、竣工决算等文件', '开展水利工程施工质量、安全、进度、投资的控制活动', '制订水利水电工程技术标准、规范和规程']"
2-02-18-13,爆破工程技术人员,从事爆破工程理论和技术研究，指导爆破工作的工程技术人员。,"['研读地质勘查报告，分析爆破区周围爆破环境', '制订爆破工程项目施工计划或方案', '进行爆破工程项目现场技术指导', '制订爆破安全技术措施并检查实施情况', '制订盲炮处理技术措施，指导盲炮处理', '参加爆破事故调查、处理']"
2-02-19,建材工程技术人员,从事建筑材料、非金属矿及制品、无机非金属新材料等产品的研究、设计并指导生产、检测、安全监测等的工程技术人员。,[]
